Training: 2021-10-31 14:22:54,493-rank_id: 0
Training: 2021-10-31 14:23:02,699-Total Step is: 295681
Training: 2021-10-31 14:24:12,420-Reducer buckets have been rebuilt in this iteration.
Training: 2021-10-31 14:24:12,613-Reducer buckets have been rebuilt in this iteration.
Training: 2021-10-31 14:25:24,789-Speed 696.25 samples/sec   Loss 68.7588 Margin 0.0000 Center 0.7322 Epoch: 0   Global Step: 100   Required: 61 hours
Training: 2021-10-31 14:26:01,382-Speed 699.61 samples/sec   Loss 59.1629 Margin 0.0000 Center 0.6451 Epoch: 0   Global Step: 150   Required: 61 hours
Training: 2021-10-31 14:26:37,836-Speed 702.25 samples/sec   Loss 59.0150 Margin 0.0000 Center 0.3387 Epoch: 0   Global Step: 200   Required: 61 hours
Training: 2021-10-31 14:27:14,239-Speed 703.25 samples/sec   Loss 54.3897 Margin 0.0000 Center 0.1100 Epoch: 0   Global Step: 250   Required: 60 hours
Training: 2021-10-31 14:27:50,005-Speed 715.77 samples/sec   Loss 54.6740 Margin 0.0000 Center 0.2629 Epoch: 0   Global Step: 300   Required: 60 hours
Training: 2021-10-31 14:28:26,008-Speed 711.07 samples/sec   Loss 52.0451 Margin 0.0000 Center 0.1194 Epoch: 0   Global Step: 350   Required: 60 hours
Training: 2021-10-31 14:29:01,855-Speed 714.15 samples/sec   Loss 50.2539 Margin 0.0000 Center 0.1939 Epoch: 0   Global Step: 400   Required: 60 hours
Training: 2021-10-31 14:29:37,582-Speed 716.56 samples/sec   Loss 48.5951 Margin 0.0000 Center 0.1353 Epoch: 0   Global Step: 450   Required: 60 hours
Training: 2021-10-31 14:30:13,255-Speed 717.63 samples/sec   Loss 47.6624 Margin 0.0000 Center 0.4552 Epoch: 0   Global Step: 500   Required: 60 hours
Training: 2021-10-31 14:30:48,984-Speed 716.51 samples/sec   Loss 47.5376 Margin 0.0000 Center 0.1088 Epoch: 0   Global Step: 550   Required: 59 hours
Training: 2021-10-31 14:31:24,636-Speed 718.08 samples/sec   Loss 47.1579 Margin 0.0000 Center 0.2212 Epoch: 0   Global Step: 600   Required: 59 hours
Training: 2021-10-31 14:32:00,580-Speed 712.21 samples/sec   Loss 46.8814 Margin 0.0000 Center 0.1137 Epoch: 0   Global Step: 650   Required: 59 hours
Training: 2021-10-31 14:32:36,230-Speed 718.11 samples/sec   Loss 46.5036 Margin 0.0000 Center 0.1946 Epoch: 0   Global Step: 700   Required: 59 hours
Training: 2021-10-31 14:33:11,891-Speed 717.88 samples/sec   Loss 46.2998 Margin 0.0000 Center 0.1531 Epoch: 0   Global Step: 750   Required: 59 hours
Training: 2021-10-31 14:33:47,508-Speed 718.76 samples/sec   Loss 46.0378 Margin 0.0000 Center 0.2253 Epoch: 0   Global Step: 800   Required: 59 hours
Training: 2021-10-31 14:34:23,149-Speed 718.28 samples/sec   Loss 45.8882 Margin 0.0000 Center 0.1469 Epoch: 0   Global Step: 850   Required: 59 hours
Training: 2021-10-31 14:34:58,754-Speed 719.01 samples/sec   Loss 45.6770 Margin 0.0000 Center 0.1447 Epoch: 0   Global Step: 900   Required: 59 hours
Training: 2021-10-31 14:35:34,366-Speed 718.88 samples/sec   Loss 45.4045 Margin 0.0000 Center 0.1758 Epoch: 0   Global Step: 950   Required: 59 hours
Training: 2021-10-31 14:36:09,970-Speed 719.01 samples/sec   Loss 45.2053 Margin 0.0000 Center 0.0876 Epoch: 0   Global Step: 1000   Required: 59 hours
Training: 2021-10-31 14:36:45,470-Speed 721.13 samples/sec   Loss 44.8805 Margin 0.0000 Center 0.1007 Epoch: 0   Global Step: 1050   Required: 59 hours
Training: 2021-10-31 14:37:20,993-Speed 720.68 samples/sec   Loss 45.0731 Margin 0.0000 Center 0.3021 Epoch: 0   Global Step: 1100   Required: 59 hours
Training: 2021-10-31 14:37:56,515-Speed 720.69 samples/sec   Loss 44.4921 Margin 0.0000 Center 0.1994 Epoch: 0   Global Step: 1150   Required: 59 hours
Training: 2021-10-31 14:38:32,556-Speed 710.31 samples/sec   Loss 44.4765 Margin 0.0000 Center 0.1745 Epoch: 0   Global Step: 1200   Required: 59 hours
